<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20161212;000000;154.1800000;159.8200000;154.0300000;158.6300000;83754390
20161213;000000;158.3500000;159.2000000;157.7200000;158.9500000;43170440
20161214;000000;159.0100000;160.6200000;155.3000000;157.2000000;45516290
20161215;000000;155.7700000;158.3000000;155.7700000;158.2500000;52342400
20161216;000000;158.4800000;158.8800000;156.2000000;156.2000000;31667140
20161219;000000;157.1400000;157.7500000;154.6000000;154.6000000;17549250
20161220;000000;154.5500000;155.9500000;153.7600000;155.3000000;27856890
20161221;000000;155.4300000;156.7300000;153.0100000;153.0600000;22587980
20161222;000000;153.2100000;153.3400000;149.7200000;150.2700000;29725390
20161223;000000;150.2800000;151.1900000;147.2200000;149.0500000;24962550
20161226;000000;149.0000000;149.8600000;148.8000000;148.9500000;7009350
20161227;000000;149.0500000;151.0300000;149.0500000;150.3800000;9642840
20161228;000000;150.6000000;152.6000000;149.6000000;151.0000000;17016680
20161229;000000;150.7200000;153.2900000;149.9000000;152.6200000;14803850
20161230;000000;152.6400000;154.5500000;152.6000000;154.5500000;15709020
20170103;000000;154.4600000;158.2000000;154.1200000;157.7000000;24739730
20170104;000000;156.9900000;157.4400000;155.7600000;157.4400000;15488900
20170105;000000;157.2400000;158.7000000;153.1700000;154.0000000;25440490
20170106;000000;154.1200000;154.4700000;152.0500000;154.1000000;12306060
20170109;000000;154.2000000;155.5000000;153.3000000;154.4000000;12914820
20170110;000000;154.0100000;158.0200000;154.0000000;157.9700000;26095400
20170111;000000;157.5100000;158.5000000;155.8100000;157.0100000;20651880
20170112;000000;158.3000000;158.4800000;155.5300000;157.2500000;24015080
20170113;000000;157.4800000;158.3000000;155.7700000;157.9500000;23314640
20170116;000000;157.9800000;158.2000000;155.5800000;155.8100000;16946090
20170117;000000;155.8100000;156.5000000;153.0100000;153.6500000;25891620
20170118;000000;154.2000000;154.5900000;152.6500000;152.8600000;16206860
20170119;000000;153.3000000;153.5600000;148.2300000;150.8500000;41950940
20170120;000000;150.8100000;151.2000000;147.7000000;149.7000000;33215450
20170123;000000;149.8500000;149.8500000;147.1000000;148.1000000;22477970
20170124;000000;148.2500000;150.5000000;148.2500000;150.1500000;22349450
20170125;000000;150.2800000;150.8700000;147.1500000;147.6500000;30598170
20170126;000000;147.7100000;151.2800000;147.1600000;150.4900000;26458480
20170127;000000;150.3300000;154.5300000;149.9100000;154.0900000;37163920
20170130;000000;153.6800000;153.9000000;150.3500000;150.8000000;21526460
20170131;000000;150.5900000;151.4200000;149.1500000;149.8000000;28259280
20170201;000000;150.0500000;150.3800000;148.3200000;149.6500000;20765250
20170202;000000;149.8200000;150.4500000;148.1500000;148.8000000;20492720
20170203;000000;148.8500000;150.2000000;148.3700000;149.3500000;20814340
20170206;000000;149.3800000;149.7000000;147.6300000;148.5000000;22086970
20170207;000000;148.3000000;148.7000000;147.6000000;148.7000000;13840720
20170208;000000;148.2200000;148.2200000;143.9000000;145.2000000;64427740
20170209;000000;145.3400000;145.6000000;141.5700000;142.1100000;52175480
