<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20161212;000000;172.0000000;178.9300000;171.3500000;175.4000000;114230960
20161213;000000;175.0000000;177.4800000;172.0600000;176.9000000;64532700
20161214;000000;177.0000000;177.8700000;172.3700000;173.7000000;53770010
20161215;000000;171.5000000;175.3900000;171.3500000;174.9200000;74954190
20161216;000000;175.6400000;177.0400000;173.5000000;173.9000000;50022910
20161219;000000;174.7500000;175.5500000;173.2000000;174.3000000;34104700
20161220;000000;174.0800000;176.8600000;173.0300000;175.9000000;31465650
20161221;000000;176.5700000;185.3400000;174.6500000;174.7100000;92632940
20161222;000000;174.4400000;175.3500000;170.0000000;170.0000000;66965850
20161223;000000;169.7800000;171.7600000;168.5500000;171.1500000;37329090
20161226;000000;171.2100000;173.2000000;171.1500000;171.9700000;21197560
20161227;000000;172.0000000;172.7000000;170.5000000;172.2700000;19772190
20161228;000000;172.9900000;173.6300000;170.1000000;170.1000000;36973350
20161229;000000;170.0500000;172.2200000;167.5500000;171.3000000;49574970
20161230;000000;171.6100000;173.2500000;170.5600000;173.2500000;35419390
20170103;000000;173.4100000;181.6800000;173.0000000;180.1200000;53842180
20170104;000000;178.9100000;179.4100000;174.2300000;175.9500000;41327620
20170105;000000;176.3200000;177.2800000;171.5400000;171.9000000;35076900
20170106;000000;172.4100000;173.7500000;169.5000000;170.6900000;35395940
20170109;000000;171.3700000;172.3900000;168.0500000;168.3500000;35166440
20170110;000000;168.3700000;172.3000000;167.5400000;171.6000000;58834680
20170111;000000;171.5000000;173.0500000;168.5400000;169.0500000;52736220
20170112;000000;170.0000000;170.6500000;168.0200000;168.2700000;49804960
20170113;000000;168.8000000;172.3900000;163.8800000;164.9000000;85940780
20170116;000000;165.2100000;166.8000000;164.0600000;164.6600000;37557260
20170117;000000;164.7100000;166.4700000;163.3400000;165.9800000;45959420
20170118;000000;165.8100000;167.8000000;164.3100000;165.2400000;42378670
20170119;000000;165.5000000;166.9900000;164.6900000;166.3000000;38472590
20170120;000000;166.5000000;168.1900000;165.4200000;167.4900000;32568940
20170123;000000;167.3100000;167.3100000;164.5300000;166.7500000;36434510
20170124;000000;167.3800000;170.7000000;167.2400000;170.2500000;45367280
20170125;000000;170.3600000;171.3000000;169.5000000;170.2600000;42503590
20170126;000000;170.8200000;174.3900000;169.0600000;173.7900000;56036230
20170127;000000;173.8100000;178.9200000;173.0000000;178.9200000;71099490
20170130;000000;177.5000000;178.0000000;174.2400000;174.6000000;45749280
20170131;000000;174.3700000;175.2700000;172.0700000;172.2000000;46470590
20170201;000000;172.5100000;174.2700000;171.7500000;173.9000000;42193480
20170202;000000;173.9000000;174.6900000;171.9500000;172.8300000;31041850
20170203;000000;173.0700000;174.1900000;172.2700000;173.8000000;34713800
20170206;000000;174.3000000;174.9800000;172.2200000;172.8700000;33872650
20170207;000000;173.0000000;174.1800000;171.5100000;173.4700000;33473120
20170208;000000;173.1500000;173.1500000;170.7700000;171.2000000;33273330
20170209;000000;171.9400000;172.6700000;167.8400000;168.8000000;48715170
20170210;000000;169.0700000;170.4500000;165.4000000;165.5000000;59285630
20170213;000000;166.0600000;167.0500000;163.5000000;164.7000000;52988560
20170214;000000;164.9900000;165.1400000;162.0100000;162.7000000;54452230
20170215;000000;162.2500000;165.5700000;160.0000000;163.5000000;68790290
20170216;000000;164.0300000;166.5000000;162.2100000;166.4900000;44308970
20170217;000000;166.4000000;167.1200000;164.4200000;165.4900000;32553630
20170220;000000;166.3700000;166.6900000;163.9300000;165.4400000;26953640
20170221;000000;165.1800000;168.3800000;164.8000000;167.0000000;39626950
20170222;000000;167.4400000;168.3000000;164.3500000;165.9000000;40633810
20170224;000000;166.5300000;168.0200000;165.0300000;165.5100000;29587170
20170227;000000;166.0000000;166.3400000;160.6200000;160.9500000;41929270
20170228;000000;161.0500000;161.1900000;155.7000000;156.0000000;67891140
20170301;000000;155.9900000;160.9200000;155.9900000;160.0000000;62236720
20170302;000000;161.2000000;164.3000000;160.3300000;163.4000000;65010400
20170303;000000;162.9300000;164.8900000;161.6100000;164.4000000;38192960
20170306;000000;164.5100000;165.9900000;162.0000000;162.0000000;36786400
20170307;000000;162.3300000;162.3800000;158.9000000;160.9800000;44827830
20170309;000000;159.3000000;160.8400000;155.2300000;156.2000000;63624090
20170310;000000;157.3600000;159.4000000;155.5500000;157.5000000;51231270
20170313;000000;157.4700000;159.8700000;155.8600000;158.9200000;34056930
20170314;000000;159.3000000;160.7500000;157.0200000;157.4200000;59180030
20170315;000000;158.0600000;159.6700000;156.0600000;156.2000000;48779150
20170316;000000;157.8300000;159.8500000;157.8200000;158.3500000;68209960
20170317;000000;158.5000000;162.8500000;158.1700000;161.1500000;65442610
20170320;000000;161.5300000;164.0500000;160.6100000;163.8000000;41462870
20170321;000000;164.5000000;165.4900000;162.2500000;162.9800000;39731890
20170322;000000;162.0100000;162.9200000;159.7500000;162.9200000;40657710
20170323;000000;163.3900000;164.8400000;162.1000000;164.1500000;38642980
20170324;000000;163.9900000;165.9000000;163.0700000;164.5200000;32993360
20170327;000000;163.0300000;163.3700000;161.1000000;162.6900000;35229330
20170328;000000;163.4800000;164.1000000;162.0500000;163.6600000;30439500
20170329;000000;164.0100000;164.9000000;162.3700000;163.2200000;26134840
20170330;000000;163.3800000;164.1000000;161.9000000;163.5000000;24384990
20170331;000000;163.4500000;163.7000000;159.5100000;159.8000000;31601040
20170403;000000;160.5000000;162.9400000;159.8400000;161.8000000;32636130
20170404;000000;161.4000000;163.9500000;160.7000000;163.5000000;23318810
20170405;000000;164.3200000;168.4500000;163.8200000;168.1000000;57692310
20170406;000000;167.5300000;168.1900000;166.4100000;167.4900000;24375820
20170407;000000;166.1300000;166.8400000;160.7100000;161.4900000;59650240
20170410;000000;161.1400000;161.3900000;154.5100000;155.2000000;73679940
20170411;000000;155.1800000;158.5900000;154.6100000;156.0000000;53273370
20170412;000000;156.9400000;157.4400000;150.2800000;150.2800000;53244540
20170413;000000;151.5700000;153.3500000;149.7000000;152.0000000;69930590
20170414;000000;150.6000000;152.2500000;148.6000000;149.2400000;24840630
20170417;000000;149.4000000;154.2000000;147.6200000;153.9900000;48346600
20170418;000000;154.4400000;155.5900000;152.1500000;153.4000000;60835810
20170419;000000;153.1900000;155.3800000;152.3600000;153.6000000;38948690
20170420;000000;152.9900000;158.4000000;152.2600000;158.2100000;64051190
20170421;000000;158.7500000;160.3000000;157.8000000;159.5900000;57083470
20170424;000000;161.1300000;163.4300000;161.0000000;162.5000000;47923700
20170425;000000;163.0800000;163.5300000;161.3100000;162.5500000;40459900
20170426;000000;163.1000000;165.8000000;161.7000000;165.0500000;49230820
20170427;000000;164.9800000;165.7900000;163.2700000;164.6900000;43668030
20170428;000000;165.5000000;166.0000000;163.9100000;165.2000000;40779440
20170502;000000;166.0000000;168.3400000;165.0100000;166.6400000;42399190
20170503;000000;166.3000000;166.5000000;163.6300000;164.7100000;33445270
20170504;000000;164.6000000;167.4000000;163.7800000;165.5000000;37605500
20170505;000000;164.2200000;166.6000000;164.0000000;165.8000000;35456420
