<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20161212;000000;0.0758000;0.0763000;0.0731500;0.0734000;46528190000
20161213;000000;0.0735500;0.0744500;0.0722200;0.0736000;24900630000
20161214;000000;0.0736200;0.0743500;0.0715200;0.0722800;22179410000
20161215;000000;0.0717000;0.0728800;0.0708000;0.0723000;36891460000
20161216;000000;0.0725900;0.0749500;0.0715100;0.0737000;38958920000
20161219;000000;0.0737400;0.0747800;0.0722900;0.0725500;18711190000
20161220;000000;0.0725300;0.0732200;0.0719000;0.0725900;9799070000
20161221;000000;0.0727000;0.0731900;0.0715700;0.0717500;10850540000
20161222;000000;0.0717500;0.0718900;0.0711000;0.0715000;8844380000
20161223;000000;0.0715900;0.0728900;0.0711500;0.0720400;10700930000
20161226;000000;0.0722900;0.0724700;0.0713000;0.0713000;3982410000
20161227;000000;0.0714100;0.0728400;0.0714000;0.0727800;7278110000
20161228;000000;0.0727900;0.0737000;0.0725000;0.0730200;12581770000
20161229;000000;0.0729000;0.0742400;0.0728500;0.0739900;30270150000
20161230;000000;0.0739700;0.0750000;0.0729000;0.0740000;55745420000
20170103;000000;0.0737700;0.0745000;0.0732600;0.0740100;17897870000
20170104;000000;0.0739600;0.0743300;0.0727500;0.0731500;13476550000
20170105;000000;0.0732600;0.0733200;0.0710500;0.0714900;14360530000
20170106;000000;0.0715500;0.0715500;0.0708000;0.0709700;11618700000
20170109;000000;0.0713100;0.0718700;0.0703300;0.0705800;8211510000
20170110;000000;0.0707200;0.0714000;0.0704000;0.0712500;17926280000
20170111;000000;0.0710600;0.0717500;0.0699200;0.0702100;17917380000
20170112;000000;0.0704100;0.0704700;0.0693100;0.0695500;11398880000
20170113;000000;0.0697000;0.0699500;0.0684100;0.0692500;16567840000
20170116;000000;0.0693000;0.0702700;0.0689000;0.0694100;7946020000
20170117;000000;0.0695600;0.0698900;0.0691000;0.0692100;6149590000
20170118;000000;0.0697000;0.0697400;0.0683700;0.0686100;22266670000
20170119;000000;0.0687500;0.0689900;0.0684000;0.0686900;12369320000
20170120;000000;0.0687400;0.0689100;0.0680600;0.0684300;8083180000
20170123;000000;0.0685900;0.0686900;0.0678500;0.0686800;7104960000
20170124;000000;0.0686900;0.0693000;0.0683600;0.0685000;12880500000
20170125;000000;0.0686500;0.0692000;0.0682700;0.0685000;12126040000
20170126;000000;0.0687500;0.0699500;0.0686200;0.0690900;28656230000
20170127;000000;0.0693100;0.0701500;0.0688500;0.0697000;28113920000
20170130;000000;0.0698100;0.0707500;0.0693500;0.0694000;14919460000
20170131;000000;0.0693000;0.0697000;0.0685100;0.0689700;9926060000
20170201;000000;0.0689900;0.0694900;0.0688200;0.0694700;6808250000
20170202;000000;0.0694700;0.0696000;0.0686800;0.0690900;7257480000
20170203;000000;0.0690100;0.0693500;0.0688500;0.0692900;7709700000
20170206;000000;0.0694500;0.0694900;0.0684300;0.0686800;6628080000
20170207;000000;0.0686400;0.0689500;0.0684400;0.0687900;4169890000
20170208;000000;0.0687600;0.0689200;0.0683000;0.0687000;5289040000
20170209;000000;0.0688100;0.0689200;0.0680200;0.0687000;5844150000
20170210;000000;0.0687100;0.0688700;0.0682600;0.0684300;3681180000
20170213;000000;0.0684900;0.0688600;0.0676500;0.0681600;9529660000
20170214;000000;0.0680000;0.0682500;0.0672200;0.0678800;6995400000
20170215;000000;0.0678000;0.0688500;0.0672000;0.0677700;9098170000
20170216;000000;0.0681800;0.0681800;0.0675900;0.0679900;4326700000
20170217;000000;0.0682400;0.0682400;0.0675500;0.0679300;11253050000
20170220;000000;0.0682000;0.0683900;0.0678500;0.0679900;4243580000
20170221;000000;0.0680700;0.0682000;0.0673600;0.0679200;4571920000
20170222;000000;0.0679200;0.0679200;0.0669500;0.0674200;7037220000
20170224;000000;0.0673100;0.0674000;0.0667500;0.0671500;3716770000
20170227;000000;0.0671800;0.0672000;0.0661100;0.0667500;15736000000
20170228;000000;0.0665900;0.0669700;0.0655000;0.0660800;12843780000
20170301;000000;0.0661100;0.0672500;0.0660900;0.0672500;8997580000
20170302;000000;0.0670600;0.0674700;0.0657200;0.0660000;11009500000
20170303;000000;0.0659200;0.0660000;0.0645000;0.0660000;16179850000
20170306;000000;0.0658200;0.0662900;0.0653100;0.0660000;8204710000
20170307;000000;0.0658700;0.0660000;0.0647600;0.0660000;18443610000
20170309;000000;0.0653600;0.0664000;0.0635000;0.0646000;50140190000
20170310;000000;0.0644000;0.0657000;0.0641600;0.0650500;25362550000
20170313;000000;0.0651000;0.0656000;0.0642700;0.0652600;9452190000
20170314;000000;0.0653700;0.0655500;0.0648200;0.0650600;7748920000
20170315;000000;0.0652400;0.0657700;0.0650300;0.0651400;6355050000
20170316;000000;0.0656800;0.0660300;0.0645500;0.0655000;17104560000
20170317;000000;0.0653000;0.0663000;0.0652400;0.0662500;12764840000
20170320;000000;0.0662500;0.0672900;0.0660500;0.0672000;14623220000
20170321;000000;0.0672000;0.0676600;0.0662600;0.0668000;8731380000
20170322;000000;0.0662800;0.0669800;0.0655700;0.0669700;8303460000
20170323;000000;0.0669100;0.0673000;0.0661100;0.0667800;4695950000
20170324;000000;0.0666900;0.0667800;0.0657800;0.0664000;6329880000
20170327;000000;0.0659900;0.0661900;0.0648500;0.0655000;7690420000
20170328;000000;0.0654600;0.0658900;0.0651200;0.0655200;6140630000
20170329;000000;0.0656400;0.0662000;0.0654000;0.0661900;4185590000
20170330;000000;0.0661500;0.0670000;0.0658800;0.0668000;6059410000
20170331;000000;0.0667800;0.0671300;0.0658200;0.0662500;7508600000
20170403;000000;0.0662400;0.0668600;0.0655800;0.0668600;8138210000
20170404;000000;0.0666600;0.0672100;0.0662800;0.0671000;7294030000
20170405;000000;0.0673100;0.0678400;0.0668600;0.0669000;7928640000
20170406;000000;0.0667900;0.0668500;0.0659500;0.0661500;8582490000
20170407;000000;0.0657800;0.0661400;0.0652500;0.0655900;10601680000
20170410;000000;0.0654900;0.0655000;0.0635600;0.0647300;15312500000
20170411;000000;0.0644400;0.0650000;0.0638000;0.0649000;25594240000
20170412;000000;0.0649900;0.0651000;0.0633000;0.0641000;9794220000
20170413;000000;0.0639500;0.0643900;0.0628700;0.0640000;16434830000
20170414;000000;0.0637100;0.0641000;0.0629200;0.0640900;5405230000
20170417;000000;0.0637600;0.0643200;0.0633700;0.0642000;3211550000
20170418;000000;0.0644100;0.0644400;0.0632500;0.0640000;7021540000
20170419;000000;0.0639100;0.0640000;0.0635000;0.0640000;7625710000
20170420;000000;0.0637300;0.0644000;0.0633500;0.0644000;11808460000
20170421;000000;0.0645100;0.0658800;0.0641500;0.0650000;10809740000
20170424;000000;0.0656100;0.0657000;0.0650000;0.0651500;6166940000
20170425;000000;0.0652300;0.0671000;0.0650200;0.0661200;13045070000
20170426;000000;0.0664500;0.0685000;0.0661000;0.0684300;14608810000
20170427;000000;0.0682500;0.0686000;0.0666400;0.0667100;9711130000
20170428;000000;0.0670400;0.0677500;0.0663100;0.0667100;8418780000
20170502;000000;0.0668100;0.0677700;0.0667200;0.0673700;5980540000
20170503;000000;0.0671800;0.0681000;0.0660800;0.0675000;9043810000
20170504;000000;0.0676200;0.0684300;0.0670000;0.0671000;9299890000
20170505;000000;0.0663600;0.0664100;0.0653900;0.0657300;13328620000
20170510;000000;0.0659400;0.0669000;0.0655200;0.0669000;6805220000
20170511;000000;0.0667600;0.0670600;0.0658600;0.0658900;5138640000
20170512;000000;0.0661000;0.0661400;0.0654500;0.0656700;3725660000
20170515;000000;0.0656300;0.0674800;0.0656300;0.0666000;5925380000
20170516;000000;0.0665900;0.0684700;0.0662700;0.0670000;20242920000
20170517;000000;0.0668000;0.0670000;0.0661000;0.0666000;8437710000
20170518;000000;0.0660700;0.0667000;0.0651700;0.0655400;11370370000
20170519;000000;0.0656900;0.0674500;0.0654000;0.0663900;14208280000
20170522;000000;0.0668800;0.0668800;0.0656500;0.0656500;7469410000
20170523;000000;0.0657400;0.0672400;0.0655200;0.0672100;6669520000
20170524;000000;0.0672000;0.0681200;0.0666100;0.0670200;16316290000
20170525;000000;0.0671200;0.0674500;0.0664800;0.0669400;4208120000
20170526;000000;0.0669300;0.0670000;0.0658700;0.0663700;6080450000
20170529;000000;0.0663700;0.0665000;0.0657700;0.0660000;1835610000
20170530;000000;0.0659700;0.0661500;0.0653500;0.0659400;4215700000
20170531;000000;0.0657400;0.0666900;0.0650800;0.0661500;7957120000
20170601;000000;0.0658900;0.0666700;0.0642300;0.0647300;9317140000
20170602;000000;0.0648000;0.0652000;0.0635700;0.0652000;10717760000
20170605;000000;0.0652400;0.0656800;0.0645000;0.0650500;5672460000
20170606;000000;0.0648100;0.0651700;0.0643300;0.0643500;3210560000
20170607;000000;0.0643500;0.0647000;0.0641100;0.0641100;5520590000
20170608;000000;0.0643000;0.0649300;0.0640000;0.0645000;8017090000
20170609;000000;0.0644600;0.0652500;0.0642400;0.0652500;7626260000
20170613;000000;0.0652500;0.0655000;0.0645000;0.0645000;6602720000
20170614;000000;0.0645000;0.0645600;0.0633200;0.0640000;8543920000
20170615;000000;0.0637000;0.0639400;0.0617800;0.0639000;43916940000
20170616;000000;0.0638300;0.0641800;0.0628000;0.0639000;27985350000
20170619;000000;0.0638800;0.0639000;0.0630500;0.0632200;9883190000
20170620;000000;0.0633200;0.0639000;0.0626500;0.0639000;20204100000
20170621;000000;0.0636500;0.0638900;0.0631500;0.0633400;5467680000
20170622;000000;0.0631600;0.0641000;0.0625400;0.0639000;18900530000
20170623;000000;0.0638300;0.0641700;0.0631800;0.0640000;14029370000
20170626;000000;0.0641300;0.0645000;0.0634900;0.0634900;4325340000
20170627;000000;0.0634200;0.0635800;0.0629200;0.0633800;13012970000
20170628;000000;0.0630900;0.0638000;0.0628100;0.0638000;9983180000
20170629;000000;0.0638400;0.0640300;0.0633700;0.0639000;9944390000
20170630;000000;0.0637900;0.0645000;0.0635900;0.0640000;9058950000
20170703;000000;0.0640000;0.0644200;0.0638700;0.0643000;5460580000
20170704;000000;0.0642900;0.0649500;0.0642500;0.0644000;4766470000
20170705;000000;0.0642300;0.0645600;0.0638600;0.0640000;6769720000
20170706;000000;0.0641400;0.0642500;0.0633600;0.0638700;6716450000
20170707;000000;0.0636300;0.0641500;0.0634600;0.0636800;5969050000
20170710;000000;0.0637000;0.0642000;0.0635100;0.0638000;5617800000
20170711;000000;0.0639100;0.0640300;0.0631700;0.0638700;5033920000
20170712;000000;0.0638700;0.0645000;0.0635000;0.0640000;10566560000
20170713;000000;0.0639500;0.0642800;0.0636000;0.0637100;5696400000
